Timestamp,hash-rate
2019-09-01 00:00:00,75959123.8204752
2019-09-02 00:00:00,79786349.9315495
2019-09-03 00:00:00,87818532.8105646
2019-09-04 00:00:00,72825124.7697365
2019-09-05 00:00:00,88354011.6691656
2019-09-06 00:00:00,84605659.6589586
2019-09-07 00:00:00,80321828.7901505
2019-09-08 00:00:00,94779757.9723776
2019-09-09 00:00:00,78179913.3557465
2019-09-10 00:00:00,97457152.2653826
2019-09-11 00:00:00,98528109.9825847
2019-09-12 00:00:00,84605659.6589586
2019-09-13 00:00:00,81711974.361587
2019-09-14 00:00:00,91618125.6260619
2019-09-15 00:00:00,86889448.1743942
2019-09-16 00:00:00,96346803.0777296
2019-09-17 00:00:00,87480532.8558527
2019-09-18 00:00:00,102848734.573773
2019-09-19 00:00:00,87480532.8558527
2019-09-20 00:00:00,89253786.9002281
2019-09-21 00:00:00,98120057.122105
2019-09-22 00:00:00,98120057.122105
2019-09-23 00:00:00,67383653.6862649
2019-09-24 00:00:00,92800294.9889788
2019-09-25 00:00:00,92209210.3075204
2019-09-26 00:00:00,102155715.0684
2019-09-27 00:00:00,83726816.3184488
2019-09-28 00:00:00,100852756.01995
2019-09-29 00:00:00,86263992.570523
2019-09-30 00:00:00,82458228.1924117
2019-10-01 00:00:00,90704051.0116529
2019-10-02 00:00:00,93875521.3267456
2019-10-03 00:00:00,93241227.2637271
2019-10-04 00:00:00,93241227.2637271
2019-10-05 00:00:00,100218461.956931
2019-10-06 00:00:00,94509815.3897642
2019-10-07 00:00:00,98315579.7678755
2019-10-08 00:00:00,102755638.209005
2019-10-09 00:00:00,87532580.6965601
2019-10-10 00:00:00,103681264.292523
2019-10-11 00:00:00,100875176.08461
2019-10-12 00:00:00,86002553.9695715
2019-10-13 00:00:00,91822275.6667605
2019-10-14 00:00:00,87295825.4578357
2019-10-15 00:00:00,98935268.8522138
2019-10-16 00:00:00,92468911.4108927
2019-10-17 00:00:00,96995361.6198175
2019-10-18 00:00:00,103461719.061139
2019-10-19 00:00:00,91822275.6667605
2019-10-20 00:00:00,94408818.643289
2019-10-21 00:00:00,102815083.317007
2019-10-22 00:00:00,109281440.758328
2019-10-23 00:00:00,109144376.317496
2019-10-24 00:00:00,90520752.8588387
2019-10-25 00:00:00,93923788.6805996
2019-10-26 00:00:00,95285003.0093039
2019-10-27 00:00:00,78269823.9004996
2019-10-28 00:00:00,91201360.0231908
2019-10-29 00:00:00,90520752.8588387
2019-10-30 00:00:00,91201360.0231908
2019-10-31 00:00:00,89840145.6944865
2019-11-01 00:00:00,88478931.3657822
2019-11-02 00:00:00,91201360.0231908
2019-11-03 00:00:00,93923788.6805996
2019-11-04 00:00:00,89840145.6944865
2019-11-05 00:00:00,98007431.6667126
2019-11-06 00:00:00,89840145.6944865
2019-11-07 00:00:00,91737090.3690835
2019-11-08 00:00:00,80936306.1161364
2019-11-09 00:00:00,91053344.3806535
2019-11-10 00:00:00,104964271.994364
2019-11-11 00:00:00,95479548.6213797
2019-11-12 00:00:00,85362510.3568626
2019-11-13 00:00:00,85362510.3568626
2019-11-14 00:00:00,106861216.668961
2019-11-15 00:00:00,99905752.8621059
