,Open,Close,Volume,ADX_14,DMP_14,DMN_14,MACD_14_24_9,MACDh_14_24_9,MACDs_14_24_9,RSI_14,target,prediction_close,batch_open,trade,return of rate,cumulative return of rate,mdd,Datetime,partition,ma+return_of_rate,ma+cumulative_return_of_rate,ma+mdd,ma+rate,rsi+return_of_rate,rsi+cumulative_return_of_rate,rsi+mdd,rsi+rate,noise+return_of_rate,noise+cumulative_return_of_rate,noise+mdd,noise+rate,ma_noise+return_of_rate,ma_noise+cumulative_return_of_rate,ma_noise+mdd,ma_noise+rate,ma_rsi+return_of_rate,ma_rsi+cumulative_return_of_rate,ma_rsi+mdd,ma_rsi+rate,rsi_noise+return_of_rate,rsi_noise+cumulative_return_of_rate,rsi_noise+mdd,rsi_noise+rate,ma_rsi_noise+return_of_rate,ma_rsi_noise+cumulative_return_of_rate,ma_rsi_noise+mdd,ma_rsi_noise+rate
2017-06-14,2703.02,2450.0,76083640.16,42.56471366036693,21.667587739050713,26.93770630571868,144.00138005456256,-24.83477268700699,168.83615274156955,50.46550993729346,2424.91,2770.9610079253234,2703.02,1,0.9063935893926053,1.3124216440085508,18.171087917438715,2017-06-14,,0.9812787178785211,1.1759641529221525,7.595141324766376,0.2,0.9063935893926053,1.1033563100327297,18.171087917438715,1,0.9438361536355632,0.898762002856437,11.121025249762694,0.6,0.9625574357570421,1.0296137644377648,9.35808328726452,0.4,0.9812787178785211,1.087325055191721,7.595141324766377,0.2,0.9438361536355632,0.898762002856437,11.121025249762694,0.6,0.9625574357570421,0.9897249200734924,9.35808328726452,0.4
2017-06-15,2450.0,2424.91,84920570.37,41.10985898906508,18.998017405681104,29.838196369764237,121.83980484445374,-37.59707831769265,159.4368831621464,49.60520460138244,2484.68,2484.4988750050725,2450.0,1,0.9897591836734694,1.2989813750092958,19.009082776276053,2017-06-15,,1,1.1759641529221525,7.595141324766376,0.0,0.9897591836734694,1.092057040718966,19.00908277627604,1,0.9938555102040816,0.8932395689009265,11.667141203187214,0.6,0.9969277551020408,1.0264505388031022,9.636557453426468,0.3,1,1.087325055191721,7.595141324766377,0.0,0.9938555102040816,0.8932395689009265,11.667141203187214,0.6,0.9969277551020408,0.9866842427374136,9.63655745342646,0.3
2017-06-16,2424.91,2484.68,33826420.1,39.61875898369467,18.366027165267734,27.68414472439474,106.05775095858644,-42.703305762847975,148.76105672143441,51.71684922584334,2630.0,2411.6886323941753,2424.91,0,1,1.2989813750092958,19.009082776276053,2017-06-16,,1,1.1759641529221525,7.595141324766376,0.0,1,1.092057040718966,19.00908277627604,1,1,0.8932395689009265,11.667141203187214,0.6,1,1.0264505388031022,9.636557453426468,0.3,1,1.087325055191721,7.595141324766377,0.0,1,0.8932395689009265,11.667141203187214,0.6,1,0.9866842427374136,9.63655745342646,0.3
2017-06-17,2484.68,2630.0,28555923.68,37.47006640108947,21.07311184660887,25.516552325053127,100.09331065002971,-38.934196857123766,139.02750750715347,56.49045453569342,2516.98,2571.853419950803,2484.68,1,1.0584864046879277,1.3749541253901703,14.272215215482879,2017-06-17,,1,1.1759641529221525,7.595141324766376,0.0,1.0584864046879277,1.155927530744756,14.272215215482879,1,1.023394561875171,0.9141365172649303,9.600632672454434,0.4,1.0116972809375855,1.038457219124018,8.57955087947184,0.2,1,1.087325055191721,7.595141324766377,0.0,1.023394561875171,0.9141365172649303,9.600632672454434,0.4,1.0116972809375855,0.998225765521402,8.579550879471821,0.2
2017-06-18,2630.0,2516.98,24021728.81,35.47485513233928,19.73354810906603,23.894530458963324,88.24226826373979,-40.62819139473095,128.87045965847074,52.17039596208453,2598.0,2731.746274743641,2630.0,1,0.9570266159695817,1.3158676937355707,17.956228233104977,2017-06-18,,0.9828106463878327,1.155750089262341,9.183521116017307,0.4,0.9570266159695817,1.1062534130547286,17.95622823310498,1,0.9828106463878327,0.8984231014198683,11.154539363763826,0.4,0.9828106463878327,1.0206068107733872,10.15100930678776,0.4,0.9828106463878327,1.0686346403266611,9.183521116017324,0.4,0.9828106463878327,0.8984231014198683,11.154539363763826,0.4,0.9828106463878327,0.9810669098530781,10.151009306787738,0.4
2017-06-19,2516.98,2598.0,26993977.69,33.622161775679956,18.98912430905247,22.99313872416277,82.17285293959185,-37.358085375103116,119.53093831469496,54.83677062433495,2740.0,2620.130189380205,2516.98,1,1.0321893698003162,1.3582246455375142,15.315290923887648,2017-06-19,,1.0064378739600632,1.1631906626663437,8.598856071465478,0.2,1.0321893698003162,1.141863013260409,15.315290923887662,1,1.0128757479201265,0.9099909707993686,10.010587608764135,0.4,1.0096568109400947,1.030462617789199,9.283354590505075,0.3,1.0064378739600632,1.0755143754504417,8.598856071465496,0.2,1.0128757479201265,0.9099909707993686,10.010587608764135,0.4,1.0096568109400947,0.9905408875211122,9.283354590505056,0.3
2017-06-20,2598.0,2740.0,42537518.87,31.577306151157693,23.745683304172164,21.48658635222548,84.03032868978244,-28.400487699930025,112.43081638971246,59.13649656655572,2657.04,2655.5427925869303,2598.0,1,1.054657428791378,1.4324617123836754,10.686642467841486,2017-06-20,,1.0109314857582756,1.1759060648294402,7.599705768320596,0.2,1.054657428791378,1.2042743095971982,10.68664246784149,1,1.0218629715165513,0.9298860774742741,8.043151648863356,0.4,1.0163972286374134,1.047359348935396,7.795853014506417,0.3,1.0109314857582756,1.087271345528499,7.599705768320613,0.2,1.0218629715165513,0.9298860774742741,8.043151648863356,0.4,1.0163972286374134,1.0067830129285023,7.795853014506412,0.3
2017-06-21,2740.0,2657.04,42292796.44,29.709813752374544,22.55296672298772,20.228793094038192,80.19049918190967,-25.79225376624224,105.98275294815191,55.794454551090105,2713.48,2772.155225110043,2740.0,1,0.9697226277372263,1.3890905358656644,13.39081624188086,2017-06-21,,0.9818335766423357,1.1545440574269035,9.278288631706033,0.6,0.9697226277372263,1.167812048019029,13.390816241880854,1,0.9818335766423357,0.9129933733164787,9.713678686646633,0.6,0.9818335766423357,1.028332575595028,9.470872583977192,0.6,0.9818335766423357,1.067519513960971,9.278288631706047,0.6,0.9818335766423357,0.9129933733164787,9.713678686646633,0.6,0.9818335766423357,0.9884933664863383,9.47087258397719,0.6
2017-06-22,2657.04,2713.48,28950475.51,27.8749010271127,21.448535439145463,19.790229182422628,79.28364312969234,-21.359287854767672,100.64293098446001,57.55203857594765,2685.05,2699.310931934631,2657.04,1,1.0212416824737303,1.4185971559557866,11.551091461181942,2017-06-22,,1.0084966729894922,1.1643538407348213,8.507455917162549,0.4,1.0212416824737303,1.1926183407320459,11.551091461181933,1,1.012745009484238,0.9246294825184437,8.56297866521098,0.6,1.0106208412368651,1.0392543326191195,8.50937709437968,0.5,1.0084966729894922,1.076589878180999,8.507455917162554,0.4,1.012745009484238,0.9246294825184437,8.56297866521098,0.6,1.0106208412368651,0.9989919975954841,8.509377094379678,0.5
2017-06-23,2713.48,2685.05,22339917.54,26.201074266984232,20.964213816817402,19.181160065003038,76.19861771067417,-19.555450619028676,95.75406832970285,56.33695198746267,2557.66,2731.6975155273117,2713.48,1,0.9895226793637691,1.4037340586991927,12.477799035867795,2017-06-23,,0.9937136076182614,1.1570342556207778,9.082613949270785,0.6,0.9895226793637691,1.1801228959795467,12.477799035867783,1,0.9958090717455077,0.9207544266952206,8.94618466142956,0.4,0.9947613396818846,1.0338100321863983,8.988665390075003,0.5,0.9937136076182614,1.0698220117725452,9.08261394927078,0.6,0.9958090717455077,0.9207544266952206,8.94618466142956,0.4,0.9947613396818846,0.9937586178595658,8.988665390075012,0.5
2017-06-24,2685.05,2557.66,34941154.41,24.911549657257865,19.400891829343045,22.84284774439613,66.13190552099604,-23.69773024696545,89.82963576796149,51.128020385480866,2502.03,2710.524369451832,2685.05,1,0.9525558183274053,1.3371350449982595,16.630218238795422,2017-06-24,,0.9715334909964431,1.1240975295657252,11.670714537863724,0.6,0.9525558183274053,1.1241329309067045,16.63021823879541,1,0.9810223273309622,0.903280650576831,10.67417416419197,0.4,0.9762779091637026,1.009285896695397,11.147644536824302,0.5,0.9715334909964431,1.0393679138422187,11.67071453786372,0.6,0.9810223273309622,0.903280650576831,10.67417416419197,0.4,0.9762779091637026,0.9701845856573478,11.147644536824311,0.5
