,Open,Close,Volume,ADX_14,DMP_14,DMN_14,MACD_14_24_9,MACDh_14_24_9,MACDs_14_24_9,RSI_14,target,prediction_close,batch_open,trade,return_of_rate,cumulative_return_of_rate,mdd,Datetime,partition,ma+return_of_rate,ma+cumulative_return_of_rate,ma+mdd,ma+rate,rsi+return_of_rate,rsi+cumulative_return_of_rate,rsi+mdd,rsi+rate,noise+return_of_rate,noise+cumulative_return_of_rate,noise+mdd,noise+rate,ma_noise+return_of_rate,ma_noise+cumulative_return_of_rate,ma_noise+mdd,ma_noise+rate,ma_rsi+return_of_rate,ma_rsi+cumulative_return_of_rate,ma_rsi+mdd,ma_rsi+rate,rsi_noise+return_of_rate,rsi_noise+cumulative_return_of_rate,rsi_noise+mdd,rsi_noise+rate,ma_rsi_noise+return_of_rate,ma_rsi_noise+cumulative_return_of_rate,ma_rsi_noise+mdd,ma_rsi_noise+rate
2018-06-26,6252.28,6068.0,7751.62208792,48.87082276699016,9.174218779995062,34.73968082854338,-268.755449810772,-6.340018329054942,-262.41543148171706,33.67629083211888,6135.64,6220.238571886732,6252.28,0,1,1.0079558047707833,0.0,2018-06-26,,1,1.00083644945931,0.0,0.0,1,1,0.0,1,1,1,0.0,0.0,1,1.0004182247296551,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0
2018-06-27,6073.99,6135.64,7446.86155074,49.60016693102896,8.781497444171626,34.14054377359335,-265.1237201788881,-2.1666309577367997,-262.9570892211513,35.583325164015896,5848.33,6023.987724213831,6073.99,0,1,1.0079558047707833,0.0,2018-06-27,,1,1.00083644945931,0.0,0.0,1,1,0.0,1,1,1,0.0,0.0,1,1.0004182247296551,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0
2018-06-28,6135.64,5848.33,8878.39857291,50.52214363309713,8.118596542076645,35.18964020205518,-274.7232347371573,-9.412916412804805,-265.3103183243525,31.447117160245117,6204.24,6111.76545631374,6135.64,0,1,1.0079558047707833,0.0,2018-06-28,,1,1.00083644945931,0.0,0.0,1,1,0.0,1,1,1,0.0,0.0,1,1.0004182247296551,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0
2018-06-29,5845.2,6204.24,12067.37316767,50.59712077800575,10.014493270988499,31.34363345695433,-260.4649998410878,3.8762547866118098,-264.3412546276996,40.65049173708092,6385.71,5800.516341243486,5845.2,0,1,1.0079558047707833,0.0,2018-06-29,,1,1.00083644945931,0.0,0.0,1,1,0.0,1,1,1,0.0,0.0,1,1.0004182247296551,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0
2018-06-30,6204.01,6385.71,6915.08887702,49.55415297110759,13.76353813306946,29.244542562710787,-236.63974055231756,22.161211260305606,-258.80095181262317,44.72521194746578,6349.99,6210.79027174499,6204.01,1,1.0292875092077542,1.0374763196840169,0.0,2018-06-30,,1.0058575018415508,1.0066988508051091,0.0,0.2,1.0292875092077542,1.0292875092077542,0.0,1,1,1,0.0,0.0,1.0029287509207754,1.0033482005264927,0.0,0.1,1.0058575018415508,1.0058575018415508,0.0,0.2,1,1,0.0,0.0,1.0029287509207754,1.0029287509207754,0.0,0.1
2018-07-01,6385.75,6349.99,4160.70556721,48.58568286470216,13.228754650004861,28.108243292776663,-217.0239765801798,33.421580185954724,-250.44555676613453,44.08363411213415,6612.98,6384.228671582335,6385.75,0,1,1.0374763196840169,0.0,2018-07-01,,1,1.0066988508051091,0.0,0.4,1,1.0292875092077542,0.0,1,1,1,0.0,0.0,1,1.0033482005264927,0.0,0.2,1,1.0058575018415508,0.0,0.4,1,1,0.0,0.0,1,1.0029287509207754,0.0,0.2
2018-07-02,6345.48,6612.98,8799.80247408,46.57371351918716,17.000743843940857,25.724414548415712,-185.04261835620673,52.32235072794225,-237.36496908414898,49.79401296651203,6507.99,6339.371590820876,6345.48,0,1,1.0374763196840169,0.0,2018-07-02,,1,1.0066988508051091,0.0,0.4,1,1.0292875092077542,0.0,1,1,1,0.0,0.0,1,1.0033482005264927,0.0,0.2,1,1.0058575018415508,0.0,0.4,1,1,0.0,0.0,1,1.0029287509207754,0.0,0.2
2018-07-03,6605.46,6507.99,5924.86541706,44.70545626978037,16.246953077199706,24.583827622077866,-163.16849413649197,59.35717995812561,-222.52567409461759,47.699730329413704,6584.25,6623.1997431796535,6605.46,1,0.9852440253971714,1.0221673454597233,1.4755974602828716,2018-07-03,,0.9940976101588685,1.0007569217350383,0.5902389841131519,0.4,0.9852440253971714,1.0140993688628759,1.4755974602828634,1,1,1,0.0,0.0,0.9970488050794343,1.00038712441354,0.2951194920565778,0.2,0.9940976101588685,0.9999205387410554,0.5902389841131429,0.4,1,1,0.0,0.0,0.9970488050794343,0.9999689126853687,0.29511949205656923,0.2
2018-07-04,6507.99,6584.25,6706.7340062,42.383608755649966,17.652872122290898,22.558494402796466,-139.9198618211849,66.08464981874619,-206.00451163993108,49.365586480434736,6533.69,6499.674984153732,6507.99,0,1,1.0221673454597233,1.4755974602828716,2018-07-04,,1,1.0007569217350383,0.5902389841131519,0.4,1,1.0140993688628759,1.4755974602828634,1,1,1,0.0,0.0,1,1.00038712441354,0.2951194920565778,0.2,1,0.9999205387410554,0.5902389841131429,0.4,1,1,0.0,0.0,1,0.9999689126853687,0.29511949205656923,0.2
2018-07-05,6575.62,6533.69,7692.21577694,40.227607492528875,16.659796370788666,21.28944913771873,-122.587007129021,66.73400360872807,-189.32101073774908,48.26787873338052,6596.53,6591.462145855827,6575.62,1,0.9936234149783594,1.0156494084750547,2.103846689783723,2018-07-05,,0.9961740489870157,0.9969280747765751,0.9705758599724088,0.6,0.9936234149783594,1.0076328780169297,2.103846689783712,1,1,1,0.0,0.0,0.9980870244935078,0.9984734083475268,0.48585248634599887,0.3,0.9961740489870157,0.9960948917429552,0.970575859972405,0.6,1,1,0.0,0.0,0.9980870244935078,0.998055996648148,0.4858524863459876,0.3
2018-07-06,6533.69,6596.53,5457.67218749,38.22560631963072,15.952516024398903,20.385620025678985,-104.10788291175777,68.17050226079306,-172.27838517255083,49.763078567912515,6759.99,6537.996908919556,6533.69,1,1.0096178422912627,1.0254177643089821,1.1622969263247775,2018-07-06,,1.0057707053747575,1.002681052975935,0.3991062298284118,0.6,1.0096178422912627,1.0173241321251878,1.162296926324764,1,1,1,0.0,0.0,1.0028853526873789,1.0013543562795788,0.19871907338525188,0.3,1.0057707053747575,1.0018430618885048,0.3991062298284014,0.6,1,1,0.0,0.0,1.0028853526873789,1.0009357402002315,0.1987190733852393,0.3
2018-07-07,6604.74,6759.99,4842.79587112,35.50859975294868,19.016211045735595,18.945028260900553,-79.54551045146763,74.18629977686655,-153.73181022833418,53.525870616990126,6706.6,6606.006947497885,6604.74,1,1.0235058458016515,1.0495210761591032,0.0,2018-07-07,,1.014103507480991,1.0168223727076289,0.0,0.6,1.0235058458016515,1.0412371963052214,0.0,1,1,1,0.0,0.0,1.0070517537404955,1.0084156606070347,0.0,0.3,1.014103507480991,1.0159725630066283,0.0,0.6,1,1,0.0,0.0,1.0070517537404955,1.007994092550184,0.0,0.3
2018-07-08,6755.46,6706.6,5145.84575684,32.98566508388679,18.520887295743346,18.451558640726,-61.96009336498173,73.41737349068197,-135.3774668556637,52.15185992781063,6666.75,6770.679826682794,6755.46,1,0.9927673319063395,1.041930238557943,0.7232668093660516,2018-07-08,,0.9956603991438037,1.0124097694684273,0.4339600856196283,0.6,0.9927673319063395,1.0337062732575721,0.7232668093660453,1,1,1,0.0,0.0,0.9978301995719019,1.0062275998749488,0.21698004280980124,0.3,0.9956603991438037,1.0115636476023329,0.43396008561962307,0.6,1,1,0.0,0.0,0.9978301995719019,1.0058069465366481,0.21698004280982217,0.3
2018-07-09,6706.6,6666.75,7165.21723333,30.878305007876236,17.636610632296474,18.90936972237743,-49.40307981213027,68.77950963482675,-118.18258944695702,51.09752326253308,6299.46,6704.036625595469,6706.6,0,1,1.041930238557943,0.7232668093660516,2018-07-09,,1,1.0124097694684273,0.4339600856196283,0.6,1,1.0337062732575721,0.7232668093660453,1,1,1,0.0,0.0,1,1.0062275998749488,0.21698004280980124,0.3,1,1.0115636476023329,0.43396008561962307,0.6,1,1,0.0,0.0,1,1.0058069465366481,0.21698004280982217,0.3
